key,code,creation-moment,details,difficulty-level,update-moment,optional-link,estimated-total-time,draft-mode,key:project,key:developer
training-module-14,JAV-124,2020/07/30 00:00,Java 编程简介,BASIC,2020/08/05 12:00,https://java.com,120,false,project-25,developer-01
training-module-15,JAV-125,2020/07/30 00:00,' OR 'x'='x,BASIC,2020/08/05 12:00,https://java.com,120,false,project-25,developer-01
training-module-16,JAV-126,2020/07/30 00:00,<script>alert('Injected!');</script>,BASIC,2020/08/05 12:00,https://java.com,120,false,project-25,developer-01
training-module-17,JAV-127,2020/07/30 00:00,Introducción a Java Programming,INTERMEDIATE,2020/08/05 12:00,https://java.com,120,false,project-25,developer-01
training-module-18,JAV-128,2020/07/30 00:00,Introducción a Java Programming,ADVANCED,2020/08/05 12:00,https://java.com,120,false,project-25,developer-01
training-module-19,JAV-129,2020/07/30 00:00,Introducción a Java Programming,BASIC,,https://java.com,120,false,project-25,developer-01
training-module-20,JAV-130,2020/07/30 00:00,Introducción a Java Programming,BASIC,2000/01/01 00:00,https://java.com,120,false,project-25,developer-01
training-module-21,JAV-131,2020/07/30 00:00,Introducción a Java Programming,BASIC,2000/01/01 00:01,https://java.com,120,false,project-25,developer-01
training-module-22,JAV-132,2020/07/30 00:00,Introducción a Java Programming,BASIC,2022/07/30 00:00,https://java.com,120,false,project-25,developer-01
training-module-23,JAV-133,2020/07/30 00:00,Introducción a Java Programming,BASIC,2022/07/29 23:59,https://java.com,120,false,project-25,developer-01
training-module-24,JAV-134,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/02/29 00:00,https://java.com,120,false,project-25,developer-01
training-module-25,JAV-135,2020/07/30 00:00,Introducción a Java Programming,BASIC,2000/12/31 23:59,https://java.com,120,false,project-25,developer-01
training-module-26,JAV-136,2020/07/30 00:00,Introducción a Java Programming,BASIC,2001/01/01 00:00,https://java.com,120,false,project-25,developer-01
training-module-27,JAV-137,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,,120,false,project-25,developer-01
training-module-28,JAV-138,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,https://javaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.com,120,false,project-25,developer-01
training-module-29,JAV-139,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,https://javaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.com,120,false,project-25,developer-01
training-module-30,JAV-140,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,https://java.com?,120,false,project-25,developer-01
training-module-31,JAV-141,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,https://java.com?a,120,false,project-25,developer-01
training-module-32,JAV-142,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,https://java.com,1,false,project-25,developer-01
training-module-33,JAV-143,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,https://java.com,2,false,project-25,developer-01
training-module-34,JAV-144,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,https://java.com,9999,false,project-25,developer-01
training-module-35,JAV-145,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,https://java.com,10000,false,project-25,developer-01
training-module-36,JAV-146,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,https://java.com,120,true,project-25,developer-01
training-module-37,JAV-147,2000/01/01 00:00,Introducción a Java Programming (TS pruebas),BASIC,,https://java.com,120,true,project-25,developer-01
training-module-38,A-111,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,https://java.com,120,true,project-25,developer-03
training-module-39,AA-111,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,https://java.com,120,true,project-25,developer-03
training-module-40,AAA-111,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,ftp://a,120,true,project-25,developer-03
training-module-41,AAA-112,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,ftp://a.b,120,true,project-25,developer-03
training-module-42,AAA-113,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,https://www.lorem-ipsum.org,120,true,project-25,developer-03
training-module-43,AAA-114,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,ftp://www.lorem-ipsum.org,120,true,project-25,developer-03
training-module-44,AAA-115,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,http://www.lorem-ipsum.org/dolor/sit.html,120,true,project-25,developer-03
training-module-45,AAA-116,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,http://www.lorem-ipsum.org/dolor/sit.html#dolor,120,true,project-25,developer-03
training-module-46,AAA-117,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,http://example.org?a=1&b=2,120,true,project-25,developer-03
training-module-47,AAA-118,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,http://example.org?,120,true,project-25,developer-03
training-module-48,AAA-119,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,http://example.org?a,120,true,project-25,developer-03
training-module-49,AAA-120,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,http://example.org?a&b,120,true,project-25,developer-03
training-module-50,AAA-121,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,http://example.org/,120,true,project-25,developer-03
training-module-51,AAA-122,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,http://example.org/a,120,true,project-25,developer-03
training-module-52,AAA-123,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,http://example.org/a/b,120,true,project-25,developer-03
training-module-53,AAA-124,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,http://example.org/a/b?,120,true,project-25,developer-03
training-module-54,AAA-125,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,http://example.org/a/b?a&b,120,true,project-25,developer-03
